2024	03	21	IR	TM	5	0	WQS		1	1817	1215	−1	−2	21	161
2024	03	26	TM	IR	0	1	WQS		-2	1213	1819	+1	0	160	20
2024	06	01	TM	GL	5	0	F	TR	7	1220	946	+1	0	159	192
2024	06	06	UZ	TM	3	1	WQS		2	1669	1218	0	0	46	159
2024	06	11	TM	HK	0	0	WQS		-13	1205	1070	−2	+1	161	177
2025	03	25	TW	TM	1	2	SQ		-10	914	1215	−3	0	198	160
2025	06	10	TM	TH	3	1	SQ		36	1251	1351	+8	−18	152	122
2025	08	30	KG	TM	1	1	CNU	UZ	-5	1327	1256	0	+2	128	150
2025	09	02	UZ	TM	2	1	CNU		2	1695	1254	0	−1	45	152
2025	09	05	OM	TM	2	1	CNU	UZ	7	1532	1247	+1	−1	75	153
2025	10	09	LK	TM	1	0	SQ		36	789	1211	+3	−5	210	156
2025	10	14	TM	LK	2	1	SQ		2	1213	787	0	0	156	210
2025	11	18	TM	TW	3	1	SQ		4	1217	866	+2	0	155	202
2026	03	31	TH	TM	2	1	SQ		8	1376	1209	+5	−1	109	156
